name,type,address,latitude,longitude,freguesia,opening_hours
Confeitaria Paparoca da Foz,bakery, ,41.1481828,-8.6651708,,
Ritual,bakery, ,41.1837271,-8.5998641,,
,bakery, ,41.1428072,-8.6156038,,
Padaria Madalena,bakery, ,41.1491385,-8.6070422,,
Confeitaria Tamisa,bakery,Praça Dona Filipa de Lencastre 175,41.1484157,-8.612819,,
Padaria Alzira do Bolhão,bakery, ,41.1490602,-8.6074457,,
Mixpão - Baixa,bakery,Rua de Mouzinho da Silveira ,41.1418571,-8.6143891,,
Best,bank,,41.1631105,-8.6471814,,
Bankinter,bank,,41.1572031,-8.6301974,,
Banco Carregosa,bank,nan nan,41.1447335,-8.6119212,Porto,
Deutsche Bank,bank,,41.1482418,-8.6687172,,
Santander Totta,bank,nan nan,41.1728573,-8.6127532,Porto,
Montepio Geral,bank,,41.1476375,-8.6102772,,
Banco Santander,bank,,41.1532201,-8.6055462,,
Barklays,bank,,41.147993,-8.6081029,,
BIG,bank,nan nan,41.1630886,-8.6640678,Porto,
Banco CTT,bank,,41.1486439,-8.5977597,,
Bankinter,bank,nan nan,41.1572031,-8.6301974,Porto,
ActivoBank,bank,nan nan,41.1560418,-8.6301105,Porto,
Banco carregosa,bank,,41.1590066,-8.6364854,,
BBVA,bank,nan nan,41.1578991,-8.6798476,Porto,
Crédito Agrícola - Pinheiro Manso Porto,bank,,41.165997,-8.648664,,
ActivoBank,bank,,41.1560418,-8.6301105,,
Montepio,bank,nan nan,41.1640925,-8.6425945,Ramalde,
Abanca,bank,Rua de Damião de Góis,41.16175,-8.6126181,,Mo-Fr 08:30-15:00
Banco de Portugal - Filial Porto,bank,92 Praça da Liberdade,41.14675058073048,-8.611982956675224,Porto,Mo-Fr 08:30-15:00
Banco do Brasil AG Porto,bank,nan nan,41.161683,-8.6278416,Porto,
Deutsche Bank,bank,nan nan,41.1482418,-8.6687172,Porto,
ABANCA,bank,nan nan,41.1611913,-8.6580219,Porto,
Montepio,bank,,41.1569306,-8.6225976,,
Crédito Agrícola,bank,,41.157084,-8.6300323,,
Banco BPI,bank,,41.1590535,-8.6367915,,
Montepio Geral,bank,nan nan,41.1476375,-8.6102772,Porto,
Banco CTT,bank,nan nan,41.1486439,-8.5977597,Porto,
Banco Carregosa,bank,,41.1447335,-8.6119212,,
