name,type,address,latitude,longitude,freguesia,opening_hours
São João da Foz,bakery,R. João de Barros 409,41.1721416,-8.6338747,,"Mo-Fr 07:00-20:30, Sa-Su 8:00-20:30"
,ticket, ,41.1403786,-8.6161834,,
Froiz,supermarket,Avenida Heróis e Mártires Guerra de Angola 49,41.15161,-8.6108579,,
Clips,pastry, ,41.1767513,-8.625622,,
Minipreço,supermarket, ,41.1722313,-8.6129336,,
Maria Antónia Florista,florist, ,41.1478814,-8.6225952,,
Casa Lobo,gift, ,41.1485307,-8.6195898,,
,kiosk, ,41.1440831,-8.6224262,,
First Stop,car_repair, ,41.1444215,-8.6237271,,
Pneus Michelin,car_repair, ,41.1446184,-8.6243199,,
Campião,lottery, ,41.1466116,-8.6095509,,
Diógenes & Santos Ferramentas,doityourself, ,41.1459757,-8.6292712,,
Gradiva Editora,books, ,41.147054,-8.621691,,
Tabacaria Belomonte,kiosk, ,41.1424123,-8.6171261,,
,vacant, ,41.1469474,-8.613637,,
rhemfurTECH,computer,Rua de Alexandre Herculano 352,41.1444154,-8.6057225,,"Mo-Sa 10:00-12:00,14:00-20:00; Su 12:00-20:00"
Pingo Doce,supermarket,Praça da República 58,41.1538458,-8.6135705,,
Perfumaria Barreiros Faria,clothes, ,41.1493784,-8.6165569,,
Maria José Oliveira,hairdresser, ,41.1495216,-8.6147756,,
Portuguese Flannel,clothes, ,41.1499793,-8.6148982,,
Afinsa Galeria,art, ,41.1503104,-8.6116564,,
Minipreço,supermarket, ,41.1503404,-8.611532,,"Mo-Fr 08:30-20:00; Sa,PH 09:00-20:00; Su off"
Guelva,shoes, ,41.1503806,-8.6109973,,
Salão Luiz,hairdresser, ,41.1535286,-8.6133566,,
Casa dos Parafusos,doityourself, ,41.153487,-8.6124996,,
David & Filhos,kiosk, ,41.1506955,-8.6094209,,
Feramentas Jones,hardware,Rua de Fernandes Tomás 900,41.1506267,-8.6091374,,
Casa Lourenço,butcher,Rua do Bonjardim 412,41.1505724,-8.6089491,,
Lev,convenience,Rua de Camões 19,41.1520668,-8.6102819,,Mo-Fr 09:30-20:00; Sa 09:00-14:00
A Padoca,bakery, ,41.1477176,-8.6205829,,
Casa Hortícola,agrarian, ,41.1488539,-8.6076709,,
Fernando Nunes,hairdresser,Rua de Santa Catarina ,41.1481886,-8.606582,,
Minipreço,supermarket, ,41.1459401,-8.6045568,,"Mo-Su,PH 08:00-23:00"
Sportours,bicycle,Rua do Breiner 412,41.1504413,-8.622386,,Mo-Sa 10:00-20:00
Kardoso,convenience,Rua do Bonjardim 662,41.1525268,-8.6080347,,Mo 14:00-19:00; Tu-Fr 09:00-19:00; Sa 09:00-13:00
Optocentro,clothes, ,41.1506637,-8.6070366,,
Escola Condução Morarte,car, ,41.152138,-8.6068218,,
Vida Sadia,convenience, ,41.151691,-8.6064415,,
Carlos Santos,hairdresser,Rua Sá da Bandeira 647,41.1518461,-8.6063443,,
La Copa,ice_cream, ,41.145539,-8.6047618,,
