name,type,address,latitude,longitude,opening_hours,freguesia
Edificio J,yes,nan nan,41.17660594999999,-8.58063925,,Porto
,yes,nan nan,41.1771786191224,-8.581871846167163,,Porto
,yes,nan nan,41.1626048,-8.568978399999999,,Porto
,yes,nan nan,41.17735299048981,-8.582094032705031,,Porto
,yes,nan nan,41.16085951599711,-8.571267005503374,,Porto
,yes,nan nan,41.17727675,-8.58198685,,Porto
,yes,nan nan,41.161152052146406,-8.571637215977576,,Porto
,yes,nan nan,41.17654935048108,-8.580434833403308,,Porto
,yes,nan nan,41.1607709301066,-8.572813371859239,,Porto
,roof,nan nan,41.16488357873368,-8.578243384520967,,Porto
Edificio L,yes,nan nan,41.17633775114519,-8.5810857682224,,Porto
,yes,nan nan,41.17056280781383,-8.576982782353998,,Porto
,yes,nan nan,41.1769561,-8.581078000000002,,Porto
,yes,nan nan,41.1774809342356,-8.582529601989403,,Porto
,yes,nan nan,41.17753135,-8.5824233,,Porto
,yes,nan nan,41.16104285,-8.5724293,,Porto
,yes,nan nan,41.17759190827208,-8.582206441220945,,Porto
Edificio I,yes,nan nan,41.176799448253995,-8.581368903855761,,Porto
,yes,nan nan,41.160443665470055,-8.572964025556736,,Porto
,yes,nan nan,41.162973439446645,-8.569333422687597,,Porto
,yes,nan nan,41.16375475101184,-8.568627473987041,,Porto
,yes,nan nan,41.16057030054976,-8.573143684865073,,Porto
,school,nan nan,41.15670081063516,-8.671235730854391,,Porto
,yes,nan nan,41.15493434429576,-8.671859530717045,,Porto
,yes,nan nan,41.15578374999999,-8.6724037,,Porto
,yes,nan nan,41.15456032006797,-8.673263029476248,,Porto
,yes,nan nan,41.15572534999999,-8.67201115,,Porto
,yes,nan nan,41.15529795043184,-8.673497588124253,,Porto
,yes,nan nan,41.15588937723346,-8.672671986968371,,Porto
,yes,nan nan,41.15538752889921,-8.673463583635355,,Porto
,yes,nan nan,41.15455086166201,-8.672448729401934,,Porto
,yes,nan nan,41.154513562424775,-8.672710639041538,,Porto
,yes,nan nan,41.15454860364158,-8.672921926143921,,Porto
Edifícios Atlântico,residential,nan nan,41.15404493551792,-8.664478744427866,,Porto
Fitness Up Foz,yes,114 Rua Marta Mesquita da Câmara,41.15464000639243,-8.665328018368795,,Porto
Casa de Serralves,yes,nan nan,41.159601768233394,-8.656357386929427,,Porto
Hotel Boa-Vista Porto,yes,nan nan,41.149773116970096,-8.673864443290459,,Porto
Igreja Nova de Aldoar,yes,nan Rua Professor Melo Adrião,41.16996633405592,-8.667266223282486,,Porto
Museu de Serralves,yes,nan nan,41.15904601304442,-8.65933235989265,,Porto
Torre da Casa da Câmara,yes,nan nan,41.14303088609276,-8.611645538105446,,Porto
Igreja de Ramalde,church,nan nan,41.16831114808147,-8.647974958800187,,Ramalde
,roof,nan nan,41.15946448519582,-8.659733261659396,,Porto
,yes,nan nan,41.15134272799375,-8.615980074072692,,Porto
Capela do Senhor dos Aflitos,chapel,nan nan,41.14750540833011,-8.618844539421941,,Porto
,yes,nan nan,41.14792528069534,-8.632369446447289,,Porto
,hospital,nan nan,41.1521612220972,-8.623878266953184,,Porto
,industrial,nan nan,41.16376522618275,-8.655432905919508,,Ramalde
,yes,nan nan,41.15226443368864,-8.616321521695605,,Porto
BP,yes,nan nan,41.15148703205832,-8.655267436000708,,Porto
Torre F,university,nan nan,41.15009231435637,-8.636519772571853,,Porto
,university,nan nan,41.150042766947195,-8.636059283451283,,Porto
,roof,nan nan,41.15156404622367,-8.655497067342184,,Porto
Torre H,university,nan nan,41.15000445,-8.635807,,Porto
,industrial,nan nan,41.164064378413855,-8.655053808725038,,Ramalde
,roof,nan nan,41.15704408855591,-8.616818068182537,,Porto
,yes,nan nan,41.151676493639876,-8.655142518897225,,Porto
Casa Andresen,yes,nan nan,41.15360565267073,-8.642580097915825,,Porto
,roof,nan nan,41.15712344999999,-8.616777449999997,,Porto
Capela-Farol de São Miguel-o-Anjo,yes,nan nan,41.14708660452448,-8.666784411081457,,Porto
,roof,nan nan,41.14702810157858,-8.618872056375858,,Porto
,roof,731 Rua de Diogo Botelho,41.151631384282084,-8.65530806246426,,Porto
Fuga,yes,nan nan,41.147456366830845,-8.662611629355434,,Porto
Torre E,university,nan nan,41.150109156276905,-8.63680579038559,,Porto
Torre G,university,nan nan,41.150055647232705,-8.636287130468041,,Porto
Igreja de São Martinho de Cedofeita,church,nan nan,41.15578900004343,-8.621685311928848,,Porto
Casa da Música,roof,nan nan,41.160896900519255,-8.629516112988481,,Porto
,yes,68-70 Rua de João Grave,41.159168941551016,-8.644452120640288,,Porto
,yes,nan nan,41.141855924081135,-8.613442382746252,,Porto
INN Oporto,yes,nan nan,41.141804336767,-8.613408036637567,,Porto
Feitoria Britânica,yes,nan nan,41.141585672916165,-8.61373870333561,,Porto
,yes,nan nan,41.14174931566314,-8.613364117693994,,Porto
,apartments,274 Avenida de Fernão de Magalhães,41.15246159444773,-8.596578931210406,,Porto
,apartments,260 Avenida de Fernão de Magalhães,41.15232545515383,-8.59665761884724,,Porto
,apartments,308 Avenida de Fernão de Magalhães,41.15274499427247,-8.596415081237971,,Porto
,apartments,260 Avenida de Fernão de Magalhães,41.15221805,-8.5967197,,Porto
,apartments,290 Avenida de Fernão de Magalhães,41.15260245563946,-8.596497468774494,,Porto
,apartments,322 Avenida de Fernão de Magalhães,41.1528482,-8.596355450000003,,Porto
,school,nan nan,41.17560721200441,-8.589537716884529,,Porto
Fundação Engenheiro António de Almeida,yes,231;325 Rua Tenente Valadim,41.16192985000001,-8.64030215,,Ramalde
Igreja do Corpo Santo de Massarelos,church,nan nan,41.14592823530765,-8.630494765191484,,Porto
Labirintho,yes,nan nan,41.15942535,-8.626099649999999,,Porto
GNR - Destacamento de Acção Fiscal do Porto,public,nan Rua de Monchique,41.14493644325303,-8.625797466144073,,Porto
Forte de São João Baptista,fort,nan nan,41.148963321006384,-8.674463217820394,,Porto
,yes,nan nan,41.15788686655062,-8.63054026588182,,Porto
,apartments,nan nan,41.15680639344917,-8.629628956603542,,Porto
EDP,office,45 Rua Ofélia Diogo da Costa,41.158879098119634,-8.63185168105662,,Porto
,yes,nan nan,41.15893182130109,-8.629868762307122,,Porto
EDP,office,nan nan,41.159594484784456,-8.631480636245175,,Porto
Boavista Prime,commercial,772 Avenida da Boavista,41.158721099730116,-8.632812642258623,,Porto
Estação Ferroviária de Porto-Boavista,yes,nan nan,41.159005230588804,-8.629418421445093,,Porto
,apartments,nan nan,41.15895720447434,-8.629791200386599,,Porto
,apartments,18 nan,41.15900717463201,-8.629705038874942,,Porto
,yes,nan nan,41.14850655496163,-8.631828920687989,,Porto
,dormitory,nan nan,41.15240670291523,-8.63664408925487,,Porto
,residential,427 nan,41.15797979795162,-8.641619567730402,,Porto
,residential,nan nan,41.158379513551836,-8.641489875397694,,Porto
,residential,nan nan,41.158787086345015,-8.641360892694404,,Porto
ISAG,school,nan nan,41.17521097761641,-8.65748829038688,,Ramalde
,yes,nan nan,41.17475960309805,-8.659164568819703,,Ramalde
Cantina (P),university,nan nan,41.17640464092485,-8.595474202782503,,Porto
Associação de Estudantes (X),university,nan nan,41.17623972023042,-8.59690988207092,,Porto
Química (E),university,nan nan,41.178260292665215,-8.59695445174109,,Porto
Minas e Metalurgia (F),university,nan nan,41.17827288532129,-8.596510494207513,,Porto
Civil (G),university,nan nan,41.17819732170919,-8.59597271460095,,Porto
Electrotecnia & Informática (I),university,nan nan,41.178169701848816,-8.595214577812166,,Porto
Mecânica (L),university,nan nan,41.178124161474486,-8.59460862503162,,Porto
Civil Norte (H),university,nan nan,41.17884183964667,-8.595795053296404,,Porto
Pavilhão FCNAUP (K),university,nan nan,41.178778622740424,-8.595355464340416,,Porto
Electrotecnia Norte (J),university,nan nan,41.178635782195535,-8.595235249512122,,Porto
Mecânica Norte (M),university,nan nan,41.17876495987901,-8.594602458033737,,Porto
Administração (A),university,nan nan,41.17812016420023,-8.59776156676557,,Porto
CICA (D),university,nan nan,41.17780711768662,-8.59504113035694,,Porto
INESC TEC (S),public,nan Rua Doutor Roberto Frias,41.17943500717753,-8.595251806034042,,Porto
Torre do INEGI,public,400 Dr. Roberto Frias,41.179378867573455,-8.59419181934896,,Porto
INEGI Nave (U),public,nan nan,41.17963023697949,-8.594570613550397,,Porto
INEGI Nave (U),public,nan nan,41.17940473757234,-8.594623631525495,,Porto
Laboratório de Engenharia do Ambiente (R),university,nan nan,41.178829872201526,-8.59640098631431,,Porto
,university,nan nan,41.17867592680145,-8.596402954013383,,Porto
Central de Gases (Q),university,nan nan,41.178684831131136,-8.596544320560357,,Porto
Pavilhão Desportivo Luís Falcão (GADUP),yes,nan nan,41.17664755831983,-8.594270818762533,,Porto
Bar de Minas,university,nan nan,41.17851248924112,-8.59749792747071,,Porto
Parque de Ciência e Tecnologia da Universidade do Porto,university,100 Rua Actor Ferreira da Silva,41.17625565030517,-8.596083041062139,,Porto
,apartments,31 Rua Arquitecto Nicolau Nasoni,41.1457028919968,-8.613598437480206,,Porto
,yes,nan nan,41.149700728148105,-8.619657994017075,,Porto
,yes,317 Rua de Miguel Bombarda,41.149586908035715,-8.620536606669603,,Porto
,yes,267 Rua de Miguel Bombarda,41.149609890280466,-8.620126903139361,,Porto
,yes,nan nan,41.14956309962561,-8.620717055899327,,Porto
CICA,hospital,nan nan,41.14659682620835,-8.622337373749831,,Porto
,roof,nan nan,41.148435649999996,-8.59445895,,Porto
,roof,nan nan,41.1480124509602,-8.593776515977032,,Porto
,roof,nan nan,41.14779933194113,-8.594713027162998,,Porto
,yes,45-52 Rua de Monchique,41.14498353758257,-8.626751071605382,,Porto
,office,nan Avenida dos Aliados,41.14759795526736,-8.610690589635118,,Porto
Palácio Atlântico,office,nan Praça de Dom João I,41.14805643665812,-8.608671974954182,,Porto
,public,nan nan,41.1444140292718,-8.608162907363871,,Porto
,yes,nan nan,41.14545615130379,-8.607913262079457,,Porto
,yes,nan nan,41.1446144193989,-8.608858863653102,,Porto
,yes,nan nan,41.14436455061058,-8.608727448636417,,Porto
,yes,nan nan,41.144991435099634,-8.610272770914259,,Porto
,yes,nan nan,41.14516222760158,-8.608088355997674,,Porto
,yes,nan nan,41.144994048754626,-8.610451205560237,,Porto
,yes,nan nan,41.1449911315106,-8.610371774727739,,Porto
,yes,nan nan,41.141591841989914,-8.61339113656383,,Porto
Casa Alão de Morais,house,nan nan,41.14275535271302,-8.610690086956097,,Porto
,public,nan nan,41.14255563823461,-8.611106510728764,,Porto
Casa do Beco dos Redemoinhos,yes,nan nan,41.142868420434,-8.610739981371076,,Porto
Sé do Porto,cathedral,nan nan,41.14279064073948,-8.611216514250955,Apr-Oct 9:00-18:30; Nov-Mar 9:00-17:30,Porto
Casa das Colunas,house,nan nan,41.1429506985363,-8.610842484670954,,Porto
Oratório da Capela de São Sebastião,chapel,nan nan,41.143207195411115,-8.61136846975101,,Porto
,yes,nan nan,41.14289365435124,-8.612624689981692,,Porto
,yes,nan nan,41.142658518862184,-8.612477074796988,,Porto
,yes,nan nan,41.14292376275292,-8.612232789405482,,Porto
,yes,nan nan,41.14262026734083,-8.612417098338987,,Porto
,yes,nan nan,41.14289345549895,-8.612536146215657,,Porto
,yes,nan nan,41.14289735116568,-8.612452796506545,,Porto
,yes,nan nan,41.14272781342421,-8.612502177137195,,Porto
Casa da Câmara,yes,nan nan,41.143059358579585,-8.611729141968622,,Porto
,yes,nan nan,41.14269133551884,-8.612492807212481,,Porto
,yes,nan nan,41.14282566453388,-8.612429730593467,,Porto
Torre Medieval,yes,nan nan,41.14274694896692,-8.612226289326955,,Porto
,yes,nan nan,41.14255892880494,-8.612496649796574,,Porto
,yes,nan nan,41.14289606494286,-8.612309226626875,,Porto
,yes,nan nan,41.142645228898886,-8.61263434889481,,Porto
,yes,nan nan,41.142782907834636,-8.612746891567944,,Porto
Cathedral Design Apartments,yes,nan nan,41.14288043003906,-8.612375876338888,,Porto
,yes,nan nan,41.14284613620944,-8.61272520051325,,Porto
,yes,nan nan,41.14349112902519,-8.611324356766954,,Porto
Cúria Diocesana,office,nan nan,41.142262490623935,-8.611141348177664,,Porto
,yes,nan nan,41.14330807704419,-8.611706472655545,,Porto
,yes,nan nan,41.14312059201457,-8.611865233974425,,Porto
,yes,nan nan,41.143228664135385,-8.612105833095175,,Porto
,yes,nan nan,41.14305722557901,-8.612038218216428,,Porto
,yes,nan nan,41.14459752781326,-8.611296649078133,,Porto
,yes,nan nan,41.14325267053389,-8.611697988638166,,Porto
Mercado de São Sebastião,public,nan nan,41.1438647732875,-8.611201608734174,,Porto
,yes,nan nan,41.14267179380003,-8.613265330508229,,Porto
,yes,nan nan,41.14297787883681,-8.612755213319303,,Porto
,yes,nan nan,41.143078512481125,-8.611965121787597,,Porto
,yes,nan nan,41.14307495625541,-8.612477008326932,,Porto
,yes,nan nan,41.144068168124434,-8.611758483471439,,Porto
,yes,nan nan,41.1433292009365,-8.61184823475034,,Porto
,yes,nan nan,41.142794479181696,-8.613153122958972,,Porto
,collapsed,nan nan,41.144153804257556,-8.611782989154769,,Porto
,yes,nan nan,41.1433641008421,-8.612011303584136,,Porto
Igreja de São Lourenço (Grilos),church,nan nan,41.14208745038827,-8.612684096491192,,Porto
,apartments,nan nan,41.14490328577642,-8.611068927708917,,Porto
,house,nan nan,41.14321310759043,-8.611767356496156,,Porto
,yes,nan nan,41.14326967727522,-8.612936529964168,,Porto
,yes,nan nan,41.14360373687433,-8.612579122714832,,Porto
,yes,nan nan,41.143415726283486,-8.612991756651063,,Porto
,yes,nan nan,41.14328046304426,-8.612881498566166,,Porto
,yes,nan nan,41.14348493451812,-8.612463748522856,,Porto
,collapsed,nan nan,41.14243936314015,-8.613520396942745,,Porto
Mouzinho Plaza,yes,nan nan,41.14369335447851,-8.612526358038936,,Porto
,yes,nan nan,41.14322977812627,-8.612977223071374,,Porto
,yes,nan nan,41.1416444763004,-8.613251360245012,,Porto
My Ribeira Guest House,yes,8 Rua Clube Fluvial Portuense,41.14158988639985,-8.613210242375974,,Porto
,apartments,54 Rua Henrique Alves Costa,41.16782553941787,-8.633237763052774,,Ramalde
,apartments,15 Rua do Lugarinho,41.167583913025155,-8.633743956144185,,Ramalde
Arco de Dom Sebastião,yes,nan nan,41.1428076446937,-8.612304635062637,,Porto
Casa dos Freires de Andrade,house,nan nan,41.14231773336363,-8.61054668233785,,Porto
,house,nan nan,41.14185986138202,-8.610972674706403,,Porto
,house,nan nan,41.1417461386707,-8.611179090544354,,Porto
