name,highway,maxspeed,latitude,longitude,length,bridge,service,tunnel
Rua do Moreira,residential,,41.1532688,-8.602964799999999,93.67,,,
Rua de Dom João IV,secondary,,41.15390884999999,-8.6024604,140.929,,,
Rua do Moreira,residential,,41.1532749,-8.6015935,135.969,,,
Rua de Anselmo Braamcamp,residential,,41.1539036,-8.600663650000001,141.555,,,
Rua do Moreira,residential,,41.15328506450452,-8.600250562677987,88.942,,,
Rua da Firmeza,tertiary,,41.15103055879982,-8.60168356777007,91.567,,,
Rua de Anselmo Braamcamp,residential,,41.15216199197609,-8.600982946112829,249.61600000000004,,,
Rua de Santos Pousada,tertiary,,41.1509213,-8.600161,36.728,,,
Rua da Firmeza,tertiary,,41.151078442972,-8.60022374951115,15.598,,,
Rua de Dom João IV,secondary,,41.149995945749104,-8.602155085561463,225.829,,,
Rua de Fernandes Tomás,secondary,,41.14896501807028,-8.601994546538995,15.265,,,
Rua de Fernandes Tomás,secondary,,41.149089855027846,-8.602627139307838,94.25200000000001,,,
Rua de Fernandes Tomás,secondary,,41.14892835,-8.60180285,17.856,,,
Rua de Fernandes Tomás,secondary,,41.14896501807028,-8.601994546538995,15.265,,,
Rua de Santa Catarina,secondary,,41.15422255,-8.6047204,131.757,,,
Rua de Gonçalo Cristóvão,secondary,,41.15354219048826,-8.604993115110936,52.001,,,
Rua de Santa Catarina,secondary,,41.15422255,-8.6047204,131.757,,,
Rua de Santa Catarina,secondary,,41.15572993533684,-8.60465041260698,203.676,,,
Rua da Alegria,tertiary,,41.15442415,-8.6030682,33.799,,,
Rua da Escola Normal,secondary,,41.154692033950326,-8.603855381213528,143.75099999999998,,,
Rua das Carvalheiras,residential,,41.15474134983247,-8.605810179675466,98.179,,,
Travessa da Fontinha,living_street,,41.15496304108189,-8.605145314425302,83.25399999999999,,,
Rua de Gonçalo Cristóvão,secondary,,41.153572999999994,-8.607029,134.579,,,
,residential,,41.153515518906026,-8.606302269580382,17.05,,,
Rua da Alegria,secondary,,41.15535495,-8.6027044,45.8,,,
Rua da Alegria,secondary,,41.155603549999995,-8.60260905,11.747,,,
,service,,41.15558918851797,-8.602300186113169,73.168,,driveway,
Rua Cardeal Dom Américo,tertiary,,41.15314853165656,-8.599408683711,61.214,,,
Rua de Santos Pousada,tertiary,,41.15249383348073,-8.599862486791602,179.81799999999998,,,
Rua de Santos Pousada,tertiary,,41.15391192542588,-8.599596682651724,138.737,,,
Via de Cintura Interna,motorway,80,41.166535488558885,-8.584906976709384,235.167,yes,,
