name,address,latitude,longitude
Super Bock Arena - Pavilhão Rosa Mota,Rua de Dom Manuel II,41.14681889401629,-8.625888187437875
Alameda Shop & Spot,,41.16392765589238,-8.583841806382749
Bocca,Rua do Passeio Alegre,41.147291185032444,-8.661650920158678
,,41.15254657789306,-8.672972449939355
,,41.153549455441066,-8.672379358539356
Edifício de Restauro (ER),,41.15252100413993,-8.670954990741713
,,41.154183158121974,-8.673556096783592
Biblioteca (C),,41.1774362318605,-8.59470383082775
,,41.164720749999994,-8.580432850000001
,Rua João de Deus,41.163510684841306,-8.640257306096554
Edificio Transparente,Via Castelo do Queijo,41.1714448261716,-8.687819166178926
Junta de Freguesia de Cedofeita,,41.15603873769705,-8.622696237789048
Sea Life Porto,,41.16866604404905,-8.687473261281514
La Vie Porto Baixa Shopping Center,Rua de Fernandes Tomás,41.15019913338699,-8.604696657568494
"Escola Superior Artística do Porto, ESAP",Largo de São Domingos,41.14308342267512,-8.614260104092011
Centro de Comando Operacional do Porto - IP,,41.17317648444695,-8.57223999545705
,,41.170136536313436,-8.575232587173979
,,41.15068106235997,-8.58533218515557
,,41.17154771285708,-8.574490697395177
,,41.17077429547893,-8.571506805718212
,,41.14939769706077,-8.585340632115116
,,41.17359581734721,-8.568850698426479
,,41.170880356089775,-8.576138070587165
Contumil,,41.17111829159032,-8.573179883906658
,,41.17069988473509,-8.575692017959689
,,41.148016038418675,-8.58380060292108
,,41.16551723811176,-8.5781785685182
,,41.173385708962186,-8.568883658915937
,,41.16911095,-8.573484549999998
,,41.149231606757354,-8.585014093418486
,,41.14867376862139,-8.584513649494113
,,41.148789038439936,-8.584694848158588
,,41.147977775977544,-8.585590068906475
,,41.14901558804033,-8.585376576588716
,,41.1492542,-8.5848052
,,41.14917564784471,-8.585345095261287
,,41.148386667019324,-8.585517275884476
Sala de Espera da estação Ferroviária de Campanhã,,41.14854650241755,-8.585479307110136
Estação Ferroviária de Porto - Campanhã,Largo da Estação,41.14878434733589,-8.585448868879496
,Rua da Arroteia,41.18249158112304,-8.596720102946723
,Rua da Arroteia,41.182660235328115,-8.596806344554272
,Rua da Arroteia,41.18278703285793,-8.597129740694502
Mercado do Bom Sucesso,Praça do Bom Sucesso,41.15582146964363,-8.629109084897964
Igreja da Lapa,,41.15717058069603,-8.611988410231932
Silo Auto,Rua Gonçalo Cristovão,41.15279671166016,-8.60667983522872
Clube Fluvial Portuense - Complexo de Piscinas,Rua de Aleixo Mota,41.15049451559594,-8.654938256267936
,,41.14386865000001,-8.62321615
,,41.160746043490214,-8.643524967522973
,,41.16070526367977,-8.643286581343053
,,41.160682083880644,-8.643115253114182
,,41.160590327620575,-8.643970824880343
Eurostars Oporto Aparthotel,Rua do Mestre Guilherme Camarinha,41.184970794916936,-8.603094583657674
Casa-Atelier Marques da Silva,,41.160656711132184,-8.604045533823093
,Rua de Latino Coelho,41.159845177249395,-8.603496452887441
Palacete Lopes Martins,,41.16047004848235,-8.604127515956643
,,41.17832582423641,-8.619971788191636
,,41.17764196438534,-8.621293219922348
Sinagoga Kadoorie,,41.15590891303958,-8.636883018920594
Capela de Nossa Senhora da Conceição,,41.15161859880106,-8.66869515925585
,,41.14323461855625,-8.57665724216111
Sanatório de Tuberculosos da Foz do Douro,,41.14804790051417,-8.673496797937839
,,41.143456329844625,-8.577470250843326
Museu Nacional da Imprensa,Avenida José Domingues dos Santos,41.14340542092057,-8.576742061767385
Bar Instituto de Socorro a Náufragos,,41.14805147874629,-8.653095727829824
,,41.16267472231181,-8.577686382643105
,,41.16362352420723,-8.577393415788555
Recheio,Rua Chaves de Oliveira,41.164564910183415,-8.577836989543428
,,41.16306653155971,-8.578941136918907
,,41.16359152084994,-8.578627238135374
,,41.1613543558733,-8.578809870630447
,,41.16230478032946,-8.580342857276861
Recheio Cash & Carry,,41.1615522548689,-8.580435270029671
,,41.16197095603157,-8.577839349010015
,,41.163528441758274,-8.580064159825296
,,41.16225837826472,-8.579160116901114
,,41.16269503144249,-8.580199426275707
,,41.16401688918735,-8.57837413736185
