Type,Location,Neighborhood,Residential,Shop,Work,Latitude,Longitude
cafe,,"Porto, Portugal",,,,41.1484378,-8.6196636
clinic,,"Porto, Portugal",,,,41.1471945,-8.6212968
cafe,,"Porto, Portugal",,,,41.143771,-8.6212473
cafe,,"Porto, Portugal",,,,41.1406073,-8.6124146
university,Rua de Belomonte,"Porto, Portugal",,,,41.1424934,-8.6162935
bank,,"Porto, Portugal",,,,41.1447335,-8.6119212
cafe,,"Porto, Portugal",,,,41.1444261,-8.6175659
cafe,,"Porto, Portugal",,,,41.1432869,-8.6178637
library,,"Porto, Portugal",,,,41.1438902,-8.6168487
restaurant,,"Porto, Portugal",,,,41.1505863,-8.6312145
restaurant,Rua da Alegria,"Porto, Portugal",,,,41.1602093,-8.6006813
cafe,,"Porto, Portugal",,,,41.1623445,-8.6076678
restaurant,Rua da Torrinha,"Porto, Portugal",,,,41.1526309,-8.6217591
restaurant,Avenida da Boavista,"Porto, Portugal",,,,41.1620751,-8.6528135
restaurant,Rua de António Cardoso,"Porto, Portugal",,,,41.1569675,-8.6418895
cafe,,"Porto, Portugal",,,,41.1411125,-8.6175629
cafe,Alameda de Basílio Teles,"Porto, Portugal",,,,41.146521,-8.6313136
restaurant,Praca da Ribeira,"Porto, Portugal",,,,41.1410032,-8.6127123
cafe,,"Porto, Portugal",,,,41.1495476,-8.624324
restaurant,,"Porto, Portugal",,,,41.1794054,-8.6435364
restaurant,,"Porto, Portugal",,,,41.146371,-8.6139359
restaurant,,"Porto, Portugal",,,,41.1503816,-8.6113616
bank,,"Porto, Portugal",,,,41.161683,-8.6278416
cafe,,"Porto, Portugal",,,,41.1789318,-8.6442805
school,,"Porto, Portugal",,,,41.1518816,-8.6035345
restaurant,Rua das Taipas,"Porto, Portugal",,,,41.1440089,-8.6171163
cafe,,"Porto, Portugal",,,,41.1501319,-8.6231348
cafe,Rua do Rosário,"Porto, Portugal",,,,41.149715,-8.6207978
cafe,,"Porto, Portugal",,,,41.1488244,-8.6151481
restaurant,Rua da Conceição,"Porto, Portugal",,,,41.1500073,-8.6146668
pharmacy,Rua dos Heróis e Mártires de Angola,"Porto, Portugal",,,,41.151745,-8.6104222
restaurant,,"Porto, Portugal",,,,41.1512695,-8.61089
cafe,,"Porto, Portugal",,,,41.150274,-8.6118067
